351;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
352;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
353;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
354;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
355;-66.50;-67.50;20.0;86.50;87.50;48.57;63.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
356;-65.50;-66.50;20.0;85.50;86.50;48.57;64.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
357;-65.50;-66.50;20.0;85.50;86.50;48.57;64.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
358;-65.50;-66.50;20.0;85.50;86.50;48.57;64.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
359;-65.50;-66.50;20.0;85.50;86.50;48.57;64.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
360;-65.50;-66.50;20.0;85.50;86.50;48.57;64.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
361;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
362;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
363;-65.50;-66.50;20.0;85.50;86.50;48.57;64.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
364;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
365;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
366;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
367;-67.50;-68.50;20.0;87.50;88.50;48.57;62.00;61.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
368;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
